person,noise_type,intensity,ok,similarity,extract_failed
Ana_Guevara,gaussian,0.30000000,0,nan,1
Ana_Guevara,brightness,1.00000000,1,1.00000000,0
Ana_Guevara,brightness,0.90000000,1,0.99929243,0
Ana_Guevara,brightness,0.80000000,1,0.99825191,0
Ana_Guevara,brightness,0.65000000,1,0.99526191,0
Ana_Guevara,brightness,0.50000000,1,0.99107194,0
Ana_Guevara,brightness,0.35000000,1,0.98268330,0
Ana_Guevara,rotation,0.00000000,1,1.00000000,0
Ana_Guevara,rotation,3.00000000,1,0.99680543,0
Ana_Guevara,rotation,6.00000000,1,0.99584270,0
Ana_Guevara,rotation,10.00000000,1,0.99417865,0
Ana_Guevara,rotation,15.00000000,1,0.99348074,0
Ana_Guevara,rotation,20.00000000,1,0.99322844,0
Ana_Guevara,blur,0.00000000,1,0.99182683,0
Ana_Guevara,blur,1.00000000,1,0.99069333,0
Ana_Guevara,blur,2.00000000,1,0.93313134,0
